id;placed_date;status;invoice_id;quantity;total_price;product_id;customer_id
1;Mouse Georgia;OUT_OF_STOCK;e-enable one-to-one;89918;14185;1;1
2;compress Soft cross-platform;AVAILABLE;Music real-time;63689;93124;2;2
3;Hat;AVAILABLE;Square revolutionize;34280;69205;3;3
4;implement Implementation;AVAILABLE;Bike;70992;88231;4;4
5;Industrial Checking Right-sized;OUT_OF_STOCK;models;70149;52097;5;5
6;Implemented;AVAILABLE;Home;53550;75346;6;6
7;Handmade Automotive Principal;OUT_OF_STOCK;success Liaison Riel;33566;2197;7;7
8;National Program;BACK_ORDER;neural hacking;34052;5405;8;8
9;hack Shirt Walks;OUT_OF_STOCK;full-range back;57324;26692;9;9
10;strategy;AVAILABLE;function Carolina Practical;61710;72863;10;10
