id;industry;location;established;engage
1;Isle;benchmark;Loan payment;Twitter
2;backing interface;withdrawal;Representative;Twitter
3;orchid;Handcrafted Metal Berkshire;backing drive Steel;Website
4;explicit;Steel JBOD Greece;Rubber Central standardization;Twitter
5;SCSI;Tuna architecture Awesome;standardization Borders Awesome;Twitter
6;relationships monetize next-generation;virtual Concrete;HTTP;Website
7;generating vortals;application protocol;Bacon architectures;Website
8;generating Bedfordshire;Computer;quantify;LinkedIn
9;Bolivia;Fantastic AI;Azerbaijanian plug-and-play firewall;Instagram
10;bandwidth structure payment;eco-centric Borders;Pants;Twitter
